Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
7.196, -0.00863338, 2.93357, 0.649263, 4.51835, 180.699
7.206, -0.00865034, 2.93901, 0.649198, 4.52718, 181.052
7.216, -0.00866729, 2.94445, 0.649134, 4.53601, 181.405
7.226, -0.00868425, 2.94989, 0.64907, 4.54484, 181.758
7.236, -0.00870122, 2.95533, 0.649005, 4.55367, 182.111
7.246, -0.00871819, 2.96077, 0.648941, 4.5625, 182.465
7.256, -0.00873517, 2.96621, 0.648877, 4.57134, 182.818
7.266, -0.00875215, 2.97165, 0.648813, 4.58018, 183.172
7.276, -0.00876913, 2.97709, 0.648749, 4.58902, 183.525
7.286, -0.00878612, 2.98253, 0.648685, 4.59786, 183.879
7.296, -0.00880311, 2.98798, 0.648621, 4.60671, 184.233
7.306, -0.0088201, 2.99342, 0.648557, 4.61555, 184.587
7.316, -0.0088371, 2.99887, 0.648494, 4.6244, 184.941
7.326, -0.00885411, 3.00431, 0.64843, 4.63325, 185.295
7.336, -0.00887112, 3.00976, 0.648366, 4.64211, 185.649
7.346, -0.00888813, 3.0152, 0.648302, 4.65096, 186.003
7.356, -0.00890515, 3.02065, 0.648239, 4.65982, 186.357
7.366, -0.00892217, 3.02609, 0.648175, 4.66868, 186.712
7.376, -0.00893919, 3.03154, 0.648112, 4.67754, 187.066
7.386, -0.00895622, 3.03699, 0.648048, 4.68641, 187.421
7.396, -0.00897325, 3.04244, 0.647985, 4.69527, 187.775
7.406, -0.00899028, 3.04788, 0.647922, 4.70414, 188.13
7.416, -0.00900732, 3.05333, 0.647858, 4.71301, 188.485
7.426, -0.00902437, 3.05878, 0.647795, 4.72188, 188.84
7.436, -0.00904141, 3.06423, 0.647732, 4.73075, 189.195
7.446, -0.00905846, 3.06968, 0.647669, 4.73963, 189.55
7.456, -0.00907551, 3.07513, 0.647606, 4.74851, 189.905
7.466, -0.00909257, 3.08058, 0.647542, 4.75739, 190.26
7.476, -0.00910963, 3.08603, 0.64748, 4.76627, 190.615
7.486, -0.0091267, 3.09148, 0.647417, 4.77515, 190.97
7.496, -0.00914376, 3.09693, 0.647354, 4.78403, 191.326
7.506, -0.00916083, 3.10238, 0.647291, 4.79292, 191.681
7.516, -0.00917791, 3.10784, 0.647228, 4.80181, 192.037
7.526, -0.00919498, 3.11329, 0.647166, 4.8107, 192.392
7.536, -0.00921207, 3.11874, 0.647103, 4.81959, 192.748
7.546, -0.00922915, 3.12419, 0.64704, 4.82848, 193.104
7.556, -0.00924624, 3.12965, 0.646978, 4.83738, 193.46
7.566, -0.00926333, 3.1351, 0.646915, 4.84627, 193.815
7.576, -0.00928042, 3.14055, 0.646853, 4.85517, 194.171
7.586, -0.00929752, 3.14601, 0.64679, 4.86407, 194.527
7.596, -0.00931462, 3.15146, 0.646728, 4.87298, 194.883
7.606, -0.00933173, 3.15691, 0.646666, 4.88188, 195.24
7.616, -0.00934883, 3.16237, 0.646604, 4.89078, 195.596
7.626, -0.00936594, 3.16782, 0.646541, 4.89969, 195.952
7.636, -0.00938306, 3.17328, 0.646479, 4.9086, 196.308
7.646, -0.00940017, 3.17873, 0.646417, 4.91751, 196.665
7.656, -0.00941729, 3.18419, 0.646355, 4.92642, 197.021
7.666, -0.00943442, 3.18964, 0.646293, 4.93534, 197.378
7.676, -0.00945154, 3.1951, 0.646231, 4.94425, 197.734
7.686, -0.00946867, 3.20055, 0.646169, 4.95317, 198.091
7.696, -0.00948581, 3.20601, 0.646107, 4.96209, 198.448
7.706, -0.00950294, 3.21146, 0.646045, 4.97101, 198.805
7.716, -0.00952008, 3.21692, 0.645984, 4.97993, 199.161
7.726, -0.00953722, 3.22238, 0.645922, 4.98885, 199.518
7.736, -0.00955436, 3.22783, 0.64586, 4.99777, 199.875
7.746, -0.00957151, 3.23329, 0.645799, 5.0067, 200.232
7.756, -0.00958866, 3.23875, 0.645737, 5.01563, 200.589
7.766, -0.00960581, 3.2442, 0.645676, 5.02456, 200.947
7.776, -0.00962297, 3.24966, 0.645614, 5.03349, 201.304
7.786, -0.00964012, 3.25511, 0.645553, 5.04242, 201.661
7.796, -0.00965728, 3.26057, 0.645491, 5.05135, 202.018
7.806, -0.00967445, 3.26603, 0.64543, 5.06028, 202.376
7.816, -0.00969161, 3.27148, 0.645369, 5.06922, 202.733
7.826, -0.00970878, 3.27694, 0.645307, 5.07816, 203.091
7.836, -0.00972595, 3.2824, 0.645246, 5.08709, 203.448
7.846, -0.00974312, 3.28785, 0.645185, 5.09603, 203.806
7.856, -0.0097603, 3.29331, 0.645124, 5.10498, 204.163
7.866, -0.00977748, 3.29877, 0.645063, 5.11392, 204.521
7.876, -0.00979466, 3.30422, 0.645002, 5.12286, 204.879
7.886, -0.00981184, 3.30968, 0.644941, 5.13181, 205.237
7.896, -0.00982903, 3.31514, 0.64488, 5.14075, 205.594
7.906, -0.00984622, 3.32059, 0.644819, 5.1497, 205.952
7.916, -0.0098634, 3.32605, 0.644758, 5.15865, 206.31
7.926, -0.0098806, 3.33151, 0.644698, 5.1676, 206.668
7.936, -0.00989779, 3.33696, 0.644637, 5.17655, 207.026
7.946, -0.00991499, 3.34242, 0.644576, 5.1855, 207.384
7.956, -0.00993219, 3.34788, 0.644516, 5.19445, 207.742
7.966, -0.00994939, 3.35333, 0.644455, 5.20341, 208.101
7.976, -0.00996659, 3.35879, 0.644395, 5.21236, 208.459
7.986, -0.0099838, 3.36424, 0.644334, 5.22132, 208.817
7.996, -0.010001, 3.3697, 0.644274, 5.23028, 209.175
8.006, -0.0100182, 3.37516, 0.644214, 5.23924, 209.534
8.016, -0.0100354, 3.38061, 0.644153, 5.2482, 209.892
8.026, -0.0100526, 3.38607, 0.644093, 5.25716, 210.25
8.036, -0.0100699, 3.39152, 0.644033, 5.26612, 210.609
8.046, -0.0100871, 3.39698, 0.643973, 5.27508, 210.967
8.056, -0.0101043, 3.40243, 0.643913, 5.28405, 211.326
8.066, -0.0101215, 3.40789, 0.643852, 5.29301, 211.685
8.076, -0.0101387, 3.41334, 0.643792, 5.30198, 212.043
8.086, -0.010156, 3.4188, 0.643733, 5.31095, 212.402
8.096, -0.0101732, 3.42425, 0.643673, 5.31992, 212.761
8.106, -0.0101904, 3.42971, 0.643613, 5.32888, 213.12
8.116, -0.0102077, 3.43516, 0.643553, 5.33785, 213.478
8.126, -0.0102249, 3.44061, 0.643493, 5.34683, 213.837
8.136, -0.0102421, 3.44607, 0.643433, 5.3558, 214.196
8.146, -0.0102594, 3.45152, 0.643374, 5.36477, 214.555
8.156, -0.0102766, 3.45697, 0.643314, 5.37374, 214.914
8.166, -0.0102938, 3.46243, 0.643254, 5.38272, 215.273
8.176, -0.0103111, 3.46788, 0.643195, 5.3917, 215.632
8.186, -0.0103283, 3.47333, 0.643135, 5.40067, 215.991
8.196, -0.0103456, 3.47878, 0.643076, 5.40965, 216.35
8.206, -0.0103628, 3.48423, 0.643016, 5.41863, 216.709
8.216, -0.0103801, 3.48969, 0.642957, 5.42761, 217.068
8.226, -0.0103973, 3.49514, 0.642897, 5.43659, 217.428
8.236, -0.0104146, 3.50059, 0.642838, 5.44557, 217.787
8.246, -0.0104318, 3.50604, 0.642779, 5.45455, 218.146
8.256, -0.0104491, 3.51149, 0.64272, 5.46353, 218.505
8.266, -0.0104664, 3.51694, 0.642661, 5.47252, 218.865
8.276, -0.0104836, 3.52239, 0.642602, 5.4815, 219.224
8.286, -0.0105009, 3.52784, 0.642543, 5.49048, 219.583
8.296, -0.0105181, 3.53329, 0.642484, 5.49947, 219.943
8.306, -0.0105354, 3.53874, 0.642425, 5.50846, 220.302
8.316, -0.0105527, 3.54418, 0.642366, 5.51744, 220.662
8.326, -0.0105699, 3.54963, 0.642307, 5.52643, 221.021
8.336, -0.0105872, 3.55508, 0.642248, 5.53542, 221.381
8.346, -0.0106045, 3.56053, 0.642189, 5.54441, 221.74
8.356, -0.0106217, 3.56597, 0.642131, 5.5534, 222.1
8.366, -0.010639, 3.57142, 0.642072, 5.56239, 222.459
8.376, -0.0106563, 3.57686, 0.642013, 5.57138, 222.819
8.386, -0.0106735, 3.58231, 0.641955, 5.58037, 223.179
8.396, -0.0106908, 3.58776, 0.641896, 5.58936, 223.538
8.406, -0.0107081, 3.5932, 0.641838, 5.59835, 223.898
8.416, -0.0107254, 3.59864, 0.641779, 5.60734, 224.258
8.426, -0.0107426, 3.60409, 0.641721, 5.61634, 224.618
8.436, -0.0107599, 3.60953, 0.641662, 5.62533, 224.977
8.446, -0.0107772, 3.61497, 0.641604, 5.63433, 225.337
8.456, -0.0107945, 3.62042, 0.641546, 5.64332, 225.697
8.466, -0.0108117, 3.62586, 0.641488, 5.65232, 226.057
8.476, -0.010829, 3.6313, 0.641429, 5.66131, 226.417
8.486, -0.0108463, 3.63674, 0.641371, 5.67031, 226.776
8.496, -0.0108636, 3.64218, 0.641313, 5.67931, 227.136
8.506, -0.0108809, 3.64762, 0.641255, 5.6883, 227.496
8.516, -0.0108982, 3.65306, 0.641197, 5.6973, 227.856
8.526, -0.0109154, 3.6585, 0.641139, 5.7063, 228.216
8.536, -0.0109327, 3.66394, 0.641081, 5.7153, 228.576
8.546, -0.01095, 3.66938, 0.641023, 5.7243, 228.936
8.556, -0.0109673, 3.67481, 0.640966, 5.7333, 229.296
8.566, -0.0109846, 3.68025, 0.640908, 5.7423, 229.656
8.576, -0.0110019, 3.68569, 0.64085, 5.7513, 230.016
8.586, -0.0110192, 3.69112, 0.640792, 5.7603, 230.376
8.596, -0.0110365, 3.69656, 0.640735, 5.7693, 230.736
8.606, -0.0110538, 3.70199, 0.640677, 5.7783, 231.096
8.616, -0.0110711, 3.70743, 0.64062, 5.7873, 231.456
8.626, -0.0110883, 3.71286, 0.640562, 5.79631, 231.816
8.636, -0.0111056, 3.71829, 0.640505, 5.80531, 232.176
8.646, -0.0111229, 3.72372, 0.640447, 5.81431, 232.536
8.656, -0.0111402, 3.72916, 0.64039, 5.82331, 232.897
8.666, -0.0111575, 3.73459, 0.640332, 5.83232, 233.257
8.676, -0.0111748, 3.74002, 0.640275, 5.84132, 233.617
8.686, -0.0111921, 3.74545, 0.640218, 5.85032, 233.977
8.696, -0.0112094, 3.75088, 0.640161, 5.85933, 234.337
8.706, -0.0112267, 3.75631, 0.640104, 5.86833, 234.697
8.716, -0.011244, 3.76173, 0.640046, 5.87733, 235.057
8.726, -0.0112613, 3.76716, 0.639989, 5.88634, 235.418
8.736, -0.0112786, 3.77259, 0.639932, 5.89534, 235.778
